Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57456018,"He Who Fights with Monsters 2 (He Who Fights with Monsters, #2)",Shirtaloon,"Shirtaloon, Shirtaloon",,"=""""","=""""",5,4.57,Aethon Books,Kindle Edition,826,2021,2021,2023/10/31,2023/10/24,,,read,Fun read.,,,1,0
38212110,"Technically Wrong: Sexist Apps, Biased Algorithms, and Other Threats of Toxic Tech",Sara Wachter-Boettcher,"Wachter-Boettcher, Sara",,"=""0393356043""","=""9780393356045""",0,4.08,W. W. Norton & Company,Paperback,232,2018,2017,,2023/10/31,to-read,to-read (#394),to-read,,,,0,0
51777543,Data Feminism,Catherine D’Ignazio,"D’Ignazio, Catherine",Lauren F. Klein,"=""0262044005""","=""9780262044004""",0,4.35,MIT Press,Hardcover,328,2020,2020,,2023/10/31,to-read,to-read (#393),to-read,,,,0,0
135462712,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1668017342""","=""9781668017340""",0,4.32,Scribner,Paperback,560,2023,2014,,2023/10/26,to-read,to-read (#392),to-read,,,,0,0
396931,The Origins of Totalitarianism,Hannah Arendt,"Arendt, Hannah",,"=""""","=""""",0,4.30,Harcourt Brace Jovanovich,Paperback,527,1973,1951,,2023/10/25,to-read,to-read (#391),to-read,,,,0,0
48730899,Kaiju: Battlefield Surgeon,Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,3.95,Dandy House,Kindle Edition,660,2019,2019,,2023/10/22,to-read,to-read (#390),to-read,,,,0,0
57189884,"He Who Fights with Monsters (He Who Fights with Monsters, #1)",Shirtaloon,"Shirtaloon, Shirtaloon",Travis Deverell,"=""""","=""""",5,4.43,Aethon Books,Kindle Edition,680,2021,2021,2023/10/22,2022/08/29,,,read,Really surprised by the quality of the plot and there are some great quotable moments throughout.,,,1,0
59891634,Smart Brevity: The Power of Saying More with Less,Jim Vandehei,"Vandehei, Jim","Mike         Allen, Roy       Schwartz","=""1523516976""","=""9781523516971""",3,4.01,Workman Publishing Company,Hardcover,224,2022,,2023/10/21,2023/03/04,,,read,"This self help book is:<br/>1) An insightful guide to improving your communications, format agnostic.<br/>2) An advert for the authors website. <br/>3) An ironically overly verbose guide to a topic best presented as a two pager.",,,1,0
125887685,"The Eye of the Bedlam Bride (Dungeon Crawler Carl, #6)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.71,Dandy House,Kindle Edition,694,2023,2023,2023/10/12,2023/10/06,,,read,,,,1,0
57991307,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,"=""1984880985""","=""9781984880987""",0,3.89,Penguin,Paperback,384,2021,2020,,2023/10/09,to-read,to-read (#389),to-read,,,,0,0
60233239,"The Butcher's Masquerade (Dungeon Crawler Carl, #5)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.69,Dandy House,Kindle Edition,726,2022,2022,2023/10/06,2023/09/30,,,read,,,,1,0
