Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,read_dates,genres,n_ratings
51938719,"Scamps & Scoundrels (The Bad Guys, #1)",Eric Ugland,"Ugland, Eric",,"=""""","=""""",0,4.43,"Air Quotes Publishing, Inc.",Kindle Edition,446,2019,,,2024/05/14,to-read,to-read (#472),to-read,,,,0,0,,Litrpg|168;Fantasy|80,2991
29618814,"Opening Moves (The Gam3, #1)",Cosimo Yap,"Yap, Cosimo",,"=""""","=""""",0,4.32,,Kindle Edition,355,2016,2016,,2024/05/14,to-read,to-read (#471),to-read,,,,0,0,,Litrpg|265;Sci Fi|72;Science Fiction|67;Fantasy|39;Fiction|29;Audible|28,4689
40715131,"The Two Week Curse (Ten Realms, #1)",Michael  Chatfield,"Chatfield, Michael",,"=""1989377491""","=""9781989377499""",0,4.33,,Kindle Edition,564,2018,2018,,2024/05/14,to-read,to-read (#470),to-read,,,,0,0,,Litrpg|273;Fantasy|122;Lit Rpg|37;Kindle Unlimited|30;Cultivation|29,7871
45754872,"Reborn: Apocalypse Volume 1 (Reborn: Apocalypse, #1)",L.M. Kerr,"Kerr, L.M.",,"=""""","=""""",0,4.33,,Kindle Edition,692,2019,2019,,2024/05/14,to-read,to-read (#469),to-read,,,,0,0,,Litrpg|176;Fantasy|57;Kindle Unlimited|24;Cultivation|23;Lit Rpg|19,4894
37654736,Stuff and Nonsense (Threadbare #1),Andrew Seiple,"Seiple, Andrew",,"=""""","=""""",0,4.33,,Kindle Edition,240,2017,2017,,2024/05/14,to-read,to-read (#468),to-read,,,,0,0,,Litrpg|189;Fantasy|138;Fiction|25;Lit Rpg|21,2872
35192342,"Ascend Online (Ascend Online, #1)",Luke Chmilenko,"Chmilenko, Luke",,"=""0995337888""","=""9780995337886""",0,4.21,Luke Chmilenko,Hardcover,642,2016,2016,,2024/05/14,to-read,to-read (#467),to-read,,,,0,0,,Litrpg|437;Fantasy|210;Audible|78;Lit Rpg|52,8333
25342750,"Survival Quest (The Way of the Shaman, #1)",Vasily Mahanenko,"Mahanenko, Vasily",Natalia Nikitin,"=""""","=""""",0,4.17,Magic Dome Books,Kindle Edition,270,2015,2012,,2024/05/14,to-read,to-read (#466),to-read,,,,0,0,,Litrpg|496;Fantasy|248;Sci Fi|73;Science Fiction|72;Lit Rpg|61,10207
42092378,"One More Last Time (The Good Guys, #1)",Eric Ugland,"Ugland, Eric",,"=""""","=""""",0,4.30,Air Quotes Publishing,Kindle Edition,300,2018,2018,,2024/05/14,to-read,to-read (#465),to-read,,,,0,0,,Litrpg|278;Fantasy|114;Lit Rpg|28,5288
32509131,"Dungeon Born (The Divine Dungeon, #1)",Dakota Krout,"Krout, Dakota",,"=""""","=""""",0,4.21,Mountaindale Press,Kindle Edition,339,2016,2016,,2024/05/14,to-read,to-read (#464),to-read,,,,0,0,,Fantasy|495;Litrpg|418;Audible|87;Fiction|61;Lit Rpg|61;Audiobooks|50,13028
198826178,Dreamer's Throne,Seth Ring,"Ring, Seth",,"=""""","=""9798860773233""",0,4.08,Independently published,Paperback,440,2023,2023,,2024/05/14,to-read,to-read (#463),to-read,,,,0,0,,Litrpg|26;Fantasy|19;Lit Rpg|5;Kindle Unlimited|5;Isekai|4;Audio|3;Gamelit|3,319
61588227,System Change (System Universe #1),SunriseCV,"SunriseCV, SunriseCV",,"=""""","=""""",4,4.41,Aethon Books,Kindle Edition,422,2022,2022,2024/05/14,2024/05/12,,,read,,,,1,0,"2024-05-12,2024-05-14",Litrpg|190;Fantasy|97,7330
207595574,Indaria (System Universe #6),SunriseCV,"SunriseCV, SunriseCV",,"=""""","=""""",0,4.40,Aethon Books,Kindle Edition,474,2024,2024,,2024/05/14,to-read,to-read (#462),to-read,,,,0,0,,Litrpg|35;Fantasy|18;Isekai|8,1829
56769575,Stiff: The Curious Lives of Human Cadavers,Mary Roach,"Roach, Mary",,"=""0393881725""","=""9780393881721""",5,4.06,W. W. Norton & Company,Paperback,320,2021,2003,2024/05/12,2024/03/27,,,read,"Fascinating, the authors personality shines and keeps the morose and morbid topic interesting and less intimidating.",,,1,0,"2024-05-10,2024-05-12",Non Fiction|8688;Nonfiction|4742;Science|3919,222695
34532979,Battle Mage,Peter A. Flannery,"Flannery, Peter A.",,"=""""","=""""",0,4.44,Blackheart Books ,Kindle Edition,648,2017,2017,,2024/05/09,to-read,to-read (#461),to-read,,,,0,0,,Fantasy|339;Epic Fantasy|38,9246
198960763,The Primal Hunter 8 (The Primal Hunter #8),Zogarth,"Zogarth, Zogarth",,"=""""","=""""",1,4.63,Aethon Books,Kindle Edition,604,2024,2024,2024/05/09,2024/05/02,,,read,"I was enjoying this series until the weird addition of a snake girl who acted like a teenager, and was repeatedly mentioned to have interesting curves etc. and who was interested in the MC. Gross.",,,1,0,"2024-05-06,2024-05-09",Litrpg|78;Fantasy|50;Audible|14;Lit Rpg|10;Audiobooks|8,4595
171511557,The Primal Hunter 7 (The Primal Hunter #7),Zogarth,"Zogarth, Zogarth",,"=""""","=""""",4,4.62,Aethon Books,Kindle Edition,722,2023,2023,2024/05/06,2024/05/02,,,read,,,,1,0,"2024-05-04,2024-05-06",Litrpg|97;Fantasy|57;Audiobooks|11;Audible|10,5359
50027,"Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",R.A. Salvatore,"Salvatore, R.A.",,"=""""","=""""",5,4.26,Wizards of the Coast,Mass Market Paperback,343,2005,1990,2021/07/19,2021/07/15,,,read,"High quality fantasy filled with political intrigue, mysterious dark magic and unique visuals (in the infrared spectrum).",,,1,0,"2021-07-15,2021-07-19",Fantasy|5568;Forgotten Realms|755;Fiction|626,91593
17789382,Writing My Wrongs,Shaka Senghor,"Senghor, Shaka",,"=""0979460697""","=""9780979460692""",0,4.25,Drop a Gem Publishing,Paperback,314,2013,2013,,2024/05/05,to-read,to-read (#460),to-read,,,,0,0,,Non Fiction|102;Memoir|99;Nonfiction|69;Biography|40;Memoirs|33;Autobiography|19;Audiobooks|18;Book Club|18;Race|16;Prison|14;Politics|12;Social Justice|11,4740
122761762,The Primal Hunter 6 (The Primal Hunter #6),Zogarth,"Zogarth, Zogarth",,"=""""","=""""",4,4.58,Aethon Books,Kindle Edition,670,2023,2023,2024/05/04,2024/05/01,,,read,,,,1,0,"2024-05-01,2024-05-04",Litrpg|114;Fantasy|68;Audible|15;Audiobooks|12;Lit Rpg|12,5865
